,T(K),F(KG),U(mV),I(A)
"data(92.5,5)",92.49755102040817,4.9999589999999925,0.007787408163265307,0.04999600000000008
"data(93,-0)",93.04400000000005,3.700000000000005e-05,0.00613792,-0.04999600000000008
"data(93,-1)",92.91578124999995,1.0000319999999991,0.00597809375,-0.048433625000000036
"data(93,-2)",93.06355263157891,2.0000410000000004,0.00533377631578947,-0.04999600000000006
"data(93,-3)",92.84640624999996,3.000014999999998,0.005868953124999999,-0.04999600000000004
"data(93,-4)",92.91649122807014,3.999985000000003,0.005779649122807018,-0.04999600000000003
"data(93,-5)",93.01171428571438,5.000057000000006,0.0024519857142857138,-0.04999600000000005
"data(93,0)",92.98788235294121,3.700000000000003e-05,0.007905858823529411,0.04999600000000007
"data(93,1)",92.95805194805192,1.000032,0.007613025974025974,0.04999600000000006
"data(93,2)",92.9759722222222,2.000041000000005,0.007213951388888893,0.0499960000000001
"data(93,3)",92.96728813559324,3.0000149999999985,0.007394762711864406,0.049996000000000033
"data(93,4)",93.09112903225801,3.9999850000000037,0.0072718387096774185,0.049996000000000033
"data(93,5)",93.02770491803281,5.0000570000000035,0.004211344262295083,0.049996000000000033
